Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Shark Tooth,Sven Tower 3 > Sven Towers > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/111307993/shark-tooth,2.8,-1,Trad,5.7+,1,85.0,33.68722,-111.7946
The Flake,Beardsley Roped Routes > Beardsley Boulders Area > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/107401579/the-flake,3.0,-1,TR,5.8,1,50.0,33.68234,-112.04284
Lost and Found,Crying Dinosaur > Siphon Draw > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/116362217/lost-and-found,3.3,-1,Trad,5.8 PG13,2,260.0,33.44085,-111.46265
Sweet Surprise,Lost Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/119988035/sweet-surprise,3.0,-1,Trad,5.8,1,39.0,33.68552,-111.81299
Thin Air,Glass Dome > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/116544566/thin-air,3.0,-1,Trad,5.11- R,1,65.0,33.67983,-111.80605
BeeGee,Pinnacle Peak > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/111523965/beegee,3.0,-1,Trad,5.11,1,65.0,33.72624,-111.86334
The Washing Machine,Sven Slab > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/119905864/the-washing-machine,3.0,-1,Trad,5.11+,2,25.0,33.69245,-111.79542
El Toro,Bob Ross Wall > Wildlife Canyon (Closures in Effect) > South Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/121834274/el-toro,3.3,-1,Sport,5.10,1,25.0,33.34213,-112.07597
The Exorcist,The Praying Monk > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/119851974/the-exorcist,3.0,-1,Sport,5.10b,1,80.0,33.5145,-111.9618
Great Compromise,Tom's Thumb > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120167321/great-compromise,3.0,-1,Trad,5.9,1,142.0,33.68174,-111.81143
