Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Old Man and His Stick,Gawker Wall > Shoshone Falls Area > Twin Falls and the Snake River Canyon > South Idaho > Idaho,https://www.mountainproject.com/route/120240545/the-old-man-and-his-stick,3.6,-1,Sport,5.10b,1,30,42.59432,-114.39679
Straight Edge,North Twin Sister > Twin Sisters > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/109451767/straight-edge,3.6,-1,Trad,5.11a R,1,140,42.04346,-113.72077
Jolly Rancher (aka Carrion's Delight),Eagle Rock Grove > East Sector > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/110459313/jolly-rancher-aka-carrions-delight,2.9,-1,Sport,5.10a,2,150,42.13564,-113.66251
Wallflower,Outlaw Wall > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/117969089/wallflower,2.8,-1,Sport,5.9-,1,90,47.70104,-116.96286
Civil Disobedience,The Thinking Spot > McCall Area > West Idaho > Idaho,https://www.mountainproject.com/route/119067609/civil-disobedience,3.8,-1,Trad,5.10+,2,200,45.00345,-116.05926
East Face Direct,East Face/Chimney Rock > Chimney Rock > North Idaho > Idaho,https://www.mountainproject.com/route/117595951/east-face-direct,3.7,-1,Trad,5.10b,2,250,48.6191,-116.6967
You Be Lichen It,Yankee Fork Crag > Central Idaho > Idaho,https://www.mountainproject.com/route/113601765/you-be-lichen-it,3.4,-1,Sport,5.10c/d,1,50,44.28391,-114.7273
Hell to Pay,Westside > Hells Gate > North Idaho > Idaho,https://www.mountainproject.com/route/117077019/hell-to-pay,3.7,-1,Sport,5.11a,1,40,46.34293,-117.03815
Close to the Edge,04. Prog Rock > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/121775516/close-to-the-edge,3.7,-1,Sport,5.11-,1,70,43.71962,-113.0757
Welcome to the Clearwater,Bastille Wall > South Fork of the Clearwater > West Idaho > Idaho,https://www.mountainproject.com/route/118016146/welcome-to-the-clearwater,3.7,-1,Trad,5.9,3,350,45.82036,-115.85298
Heart of Darkness,Roadside Rock > Mores Mountain > West Idaho > Idaho,https://www.mountainproject.com/route/108273745/heart-of-darkness,3.5,-1,Sport,5.10,1,150,43.8002,-116.0865
